text,label
"Descripció tècnica a partir de les peces del Covent de San Lorenzo del Escorial, núm. 10050177 i 10051222 (dossier ""Jornades sobre sederies bizarre, Madrid, setembre 2000) :
- denominació: Domàs gros de Tours à liage repris, amb treball de trama liseré i trama espolinada
- construcció interna : fons de setí de 8 e.3, decoració en gros de Tours de 2 fils. Treball de les trames en efecte liseré i espolinat sobre el fons setí, lligades en sarja de 3, S, per 1 de cada 6 fils de l'ordit.
- ordit : organzina, S. densitat : 120 fils/cm
- trama: trama de fons : fil de seda; trama decoració: fil d'or entorxat sobre fil doble de seda groga, S + fil d'or arrissat + sedes en diferents colors; proporció 2/1 i densitat : 17-15 passades/cm
- ample de peça: 55,5 cm comptant els dos voravius
- total de fils d'ordit : 6672
- núm. de mallons : 840
- altres mides : alt de la fulla de decoració : 14 cm; distancia de fulla a fulla 11,5 cm; distancia de trompeta a trompeta : 34 cm",flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
Podria tractar-se d'una mostra de brodat,flower
Segurament es tracta d'un fragment de faixa femenina.,flower
"Es tracta segurament d'un fragment de cobrellit, tapís de pared o d'un recobriment d'arca de fusta. Aquest tipus de teixits es feien en motiu de cerimonies importants.",geometrical_shape
"Jacquard mecànic, lampàs. Ordit de seda i trama de cotó i seda.",flower
Teixit de seda amb decoració espolinada que combina fil metàl·lic entorxat amb fil de seda de color groc. Motius florals i vegetals emmarcats en una forma de palmeta.,flower
conserva els 2 voravius,flower
Fragment de teixit molt interessant per la manera com treballa amb el fil metàl·lic per crear l'efecte d'un serrell de passamaneria,flower
conserva 1 voraviu,geometrical_shape
Teixit d'estil bizarre.,flower
conserva fragments de voraviu,flower
"Fragment de banda amb decoració central de motius vegetals, emmarcada per dues sanefes estretes amb elements també vegetals.",plant
conserva un dels voravius,plant
"Es tracta de 5 brodats sobre fons de seda de color cru en fil metàl.lic, seda i pedretes metàliques. Segurament eren per a fer les mànigues (2), els punys (2) i el coll (1) d'una peça d'indumentària.",flower
conserva un dels voravius,flower
conserva 1 voraviu,plant
"Fragment per tres peces, ample total de la peça 63 cm. Lampàs, jacquard de seda treballat en dues màquines Vincenzi de 1.280 agulles. 1 ordit de seda, 2 caps. 5 trames de seda, a 2 caps, beix per al fons, or, salmó clar, salmó fosc i marró per a la decoració.",flower
conserva els 2 voravius,flower
"Model ""RICA"", inspirat en un diseny del segle XVIII, fabricat per l'empresa Garín de Valencia a mitjans del segle XIX. Porta galó perimetral de passamaneria daurat i serrell a un dels extrems.",flower
Fragment de banda que presenta una decoració central de motius vegetals estilitzats que es van repetint de forma simétrica. Està emmarcada per una petita sanefa d'elements també vegetals.,plant
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva 1 dels voravius,flower
conserva part dels 2 voravius,flower
conserva 2 voravius,geometrical_shape
conserva 1 dels voravius,geometrical_shape
conserva els 2 voravius,flower
conserva fragments de 1 voraviu,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
Fragment de sanefa de vellut brodada amb sedes sobre una base de lli,flower
conserva els 2 voravius,flower
conserva 1 dels voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,plant
conserva els 2 voravius,flower
conserva fragments dels dos voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva fragments de 1 voraviu,flower
conserva els dos voravius.,flower
conserva 1 voraviu,flower
conserva fragments de voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
conserva fragments dels voravius,flower
conserva els 2 voravius,flower
conserva 2 voravius,flower
conserva fragments dels 2 voravius,flower
conserva voravius,flower
conserva 1 voraviu,plant
conserva els 2 voravius,flower
conserva 1 voraviu,flower
"vellut llavorat, cisellat, de 3 cossos",flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa.",geometrical_shape
conserva els dos voravius,flower
"conserva els 2 voravius, però són diferents entre ells",flower
"Fragment de banda que presenta una decoració central de motius vegetals, emmarcada per dues sanefes estretes amb elements també vegetals.",plant
conserva un voraviu.,flower
Podria tractar-se d'una mostra de brodat,flower
Teixit d\'estil bizarre.,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
Conserva els dos voravius.,flower
Teixit d'estil bizarre.,flower
conserva els dos voravius,flower
conserva un voraviu.,flower
conserva fragments dels 2 voravius,flower
conserva els 2 voravius,flower
conserva 1 voraviu,flower
Teixit d\'estil bizarre.,flower
conserva voravius.,flower
"Lampàs, jacquard de seda treballat en dues màquines Vincenzi de 1.280 agulles. 1 ordit de seda, 2 caps. 5 trames de seda, a 2 caps, beix per al fons, or, salmó clar, salmó fosc i marró per a la decoració.",flower
conserva els 2 voravius,geometrical_shape
conserva els 2 voravius,plant
"El brodat està aplicat sobre el disseny cal.ligràfic  ""ferronnerie"", tapant-lo.",plant
conserva els 2 voravius,flower
conserva els 2 voravius,flower
segurament correspon a un fragment de faixa femenina.,geometrical_shape
conserva un dels voravius,flower
conserva els dos voravius,flower
conserva un dels voravius,flower
Fragment que segurament formava part d'una peça d'indumentària ja que inclou 2 traus.,plant
conserva els 2 voravius,flower
Es tracta de dos fragments de la mateixa cinta cosits sobre una tela de suport única.,flower
conserva 1 dels voravius,plant
conserva els 2 voravius,flower
conserva els 2 voravius,flower
"Fragment de teixit de setí de seda, color cru, amb brodat realçat en seda i diversos tipus de fils metàl·lics entorxats, argentats i daurats creant flors i motius vegetals",flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell dibuixant una sanefa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva els 2 voravius,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa en disposició radial. Restes de fistó en fil negre en el perímetre.",geometrical_shape
"Decoració de losanges amb els monogrames de Crist i Maria i medallons amb el monograma de Crist dins d’un cor coronat per un capell cardenalici, sobre fons carmí amb treball d’espolí amb fil metàl·lic entorxat daurat.",plant
conserva 1 voraviu,flower
conserva 1 voraviu,flower
conserva 1 dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,geometrical_shape
Teixit d\'estil bizarre.,flower
conserva 1 voraviu,flower
conserva els 2 voravius,flower
conserva els dos voravius,flower
conserva 1 voraviu,flower
conserva un dels voravius,flower
conserva un voraviu.,flower
segurament correspon a un fragment de faixa femenina.,flower
"conserva els 2 voravius, de color verd.",geometrical_shape
"Pertany al tipus ""pannus de areste"", draps d'aresta.",flower
conserva part de 1 voraviu,flower
conserva els 2 voravius,flower
Teixit que per la seva forma devia ser part de l'estola d'un conjunt d'indumentària litúrgica.,flower
conserva 1 voraviu,flower
Conserva els dos voravius.,flower
conserva 1 voraviu,flower
conserva els 2 voravius,geometrical_shape
conserva 1 voraviu,plant
Fragment de banda rectangular que presenta com a decoració motius vegetals.,plant
"DESCRIPCIÓ TÈCNICA: Roberta Orsi-Landini (2010)

VELLUT LLAVORAT TALLAT, 1 COS. Fons setí de 5, escalonat 2.

. ORDIT:
- relació d'ordits: 2 ordits, relació 6 fils de fons/1 fil de pèl
- matèria:
ordit de fons: seda, groga, torsió S
ordit de pèl: seda, color verd
- escalat: 1 fil de pèl
- densitat 15 fils pèl/cm

. TRAMA:
- matèria: seda, coor groc
- relació: 3 passades trama / 1 ferro
- densitat: 16/17 passades ferro
- escalat: 1 ferro

. VORAVIUS: conserva els 2 voravius :
40 fils liles, 20 fils blancs. setí de 5 (fils dobles).

. 840 fil de pèl / 210 cordes per camí.",plant
conserva 1 voraviu,flower
conserva part d'un voraviu,flower
conserva 1 voraviu,geometrical_shape
"Conserva 4 fragments de voraviu
- Vellut tallat llavorat de 1 cos",plant
conserva 2 voravius,flower
conserva 1 voraviu,flower
"AMPLIACIÓ TÉCNICA:
- densitat d'ordit: 110 fils/cm.
- densitat de trama: 41 passades/cm.",flower
Teixit amb decoració vegetal de grans dimensions que incorpora l'emblema del d'orde dels agustins recol·lectes.,plant
Teixit d'estil bizarre.,flower
"Fragment de tafetà de seda color safrà daurat, brodat en seda de color vermell, amb sanefes i motius vegetals que inclouen la forma del ""boteh"" o palmeta persa. Restes de fistó en fil negre en el perímetre.",geometrical_shape
conserva els 2 voravius,flower
conserva els 2 voravius,geometrical_shape
conserva un dels voravius,flower
conserva els 2 voravius,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva 1 dels voravius.,plant
conserva els 2 voravius,flower
conserva un dels voravius.,flower
conserva els 2 voravius,flower
conserva un dels voravius,flower
conserva 1 voraviu,flower
Teixit d\'estil bizarre.,flower
conserva 1 voraviu,flower
Teixit de tafetà de cotó de color marró fosc brodat amb sedes policromes que fan motius geomètrics. Va ser adquirit a Nuristán (Pèrsia).,geometrical_shape
conserva un fragment del voraviu,flower
conserva part dels 2 voravius,flower
conserva 2 voravius,plant
"Model ""RICA"" de l'empresa valenciana ""Garin e Hijos"", inspirat en un disseny del segle XVIII",flower
"Detaal d'un teixit de format rectangular que era la part de la faldilla d'un vestit, del qual també conservem el cos, mateix número de registre.",flower
conserva part d'un voraviu,flower
conserva restes dels 2 voravius,plant
conserva els 2 voravius,flower
conserva un voraviu.,flower
conserva 1 voraviu,flower
"Model ""RICA"", inspirat en un diseny del segle XVIII, fabricat per l'empresa Garín de Valencia a mitjans del segle XIX.",flower
"vellut llavorat, de diferents cossos",flower
